Game Title,Min Players,Max Players,Min Time,Max Time,Age,Rule Complexity,Game Mechanics,Theme,Image,Game Summary
"...and then, we held hands.",2,2,30,45,10+,1.74,,,,
"1066, Tears To Many Mothers",1,2,30,60,10+,2.1333,,,,
1st & Roll,2,4,20,60,14+,2,,,,
21 Days,1,4,30,45,10+,2.9,,,,
51st State: Master Set,1,4,60,90,12+,2.9375,,,,
A Distant Plain,1,4,180,300,14+,3.819,,,,
A Touch of Evil: Hero Pack 1,2,12,90,90,12+,2.64,,,,
A Touch of Evil: Hero Pack 2,2,12,90,90,8+,3,,,,
A Touch of Evil: Something Wicked Expansion,1,12,120,120,12+,2.9231,,,,
A Touch of Evil: The Coast,2,12,0,0,10+,2.8182,,,,
A Touch of Evil: The Supernatural Game,2,8,90,90,12+,2.5556,,,,
Adrenaline,3,5,30,60,12+,2.3,,,,
Adventures in Zombiewood,2,5,25,45,,0,,,,
Aeon's End,1,4,60,60,12+,2.8211,,,,
Aeon's End: The Nameless,1,4,60,60,,2.6667,,,,
Aeon's End: The Outer Dark,1,4,60,60,,3,,,,
Aeon's End: The Void,1,4,60,0,,3,,,,
Aeon's End: War Eternal,1,4,60,60,12+,2.9216,,,,
Agricola,1,5,30,150,12+,3.6356,,,,
Air King,2,4,30,30,8+,1.375,,,,
Albion's Legacy,1,6,90,90,10+,3.2632,,,,
All Things Zombie,1,2,120,120,16+,2.5556,,,,
Alone in the Desert: a solitaire expansion for Armageddon War,1,1,60,60,,0,,,,
Anachrony,1,4,30,120,14+,3.9665,,,,
Ancient Artifacts,1,4,20,45,10+,2,,,,
Andean Abyss,1,4,360,360,14+,3.7225,,,,
Apex Theropod Deck-Building Game,1,6,45,290,14+,2.9231,,,,
Apocalypse Chaos,1,4,60,60,12+,3,,,,
ApocalypZe Card Game,2,4,45,45,12+,2.2,,,,
Apollo: The Game of Our First Voyages to the Moon,1,4,20,45,,0,,,,
Archipelago,2,5,30,240,12+,3.7352,,,,
Archipelago: Solo Expansion,1,1,60,60,14+,3.5106,,,,
Archmage,1,4,60,120,14+,3.3158,,,,
Arctic Scavengers: Base Game+HQ+Recon,1,5,30,60,12+,2.2727,,,,
Argonauts,1,4,60,60,8+,2.1176,,,,
Arkham Horror,1,8,120,360,14+,3.5605,,,,
Arkham Horror (Third Edition),1,6,120,180,12+,3.0645,,,,
Arkham Horror: Curse of the Dark Pharaoh Expansion,1,8,240,240,12+,3.1516,,,,
Arkham Horror: Dunwich Horror Expansion,1,8,240,240,12+,3.4792,,,,
Arkham Horror: Innsmouth Horror Expansion,1,8,180,180,12+,3.567,,,,
Arkham Horror: Kingsport Horror Expansion,1,8,120,120,12+,3.3681,,,,
Arkham Horror: Miskatonic Horror Expansion,1,8,240,240,14+,3.35,,,,
Arkham Horror: The Black Goat of the Woods Expansion,1,8,240,240,12+,3.1159,,,,
Arkham Horror: The Card Game,1,2,60,120,14+,3.3135,,,,
Arkham Horror: The Card Game – A Phantom of Truth: Mythos Pack,1,4,60,120,,3.75,,,,
Arkham Horror: The Card Game – Black Stars Rise: Mythos Pack,1,2,60,120,,3.5,,,,
Arkham Horror: The Card Game – Blood on the Altar: Mythos Pack,1,4,60,120,14+,3.5455,,,,
Arkham Horror: The Card Game – Carnevale of Horrors: Scenario Pack,1,4,60,120,14+,3.4,,,,
Arkham Horror: The Card Game – Curse of the Rougarou: Scenario Pack,1,4,60,120,14+,3.5,,,,
Arkham Horror: The Card Game – Dim Carcosa: Mythos Pack,1,2,60,120,,3.6667,,,,
Arkham Horror: The Card Game – Echoes of the Past: Mythos Pack,1,4,60,120,14+,3.8333,,,,
Arkham Horror: The Card Game – Lost in Time and Space: Mythos Pack,1,4,60,120,14+,3.625,,,,
Arkham Horror: The Card Game – Return to the Night of the Zealot,1,2,60,120,,3,,,,
Arkham Horror: The Card Game – The Circle Undone: Expansion,1,2,60,120,,0,,,,
Arkham Horror: The Card Game – The Dunwich Legacy: Expansion,1,2,60,120,14+,3.48,,,,
Arkham Horror: The Card Game – The Essex County Express: Mythos Pack,1,4,60,120,14+,3.5455,,,,
Arkham Horror: The Card Game – The Forgotten Age: Expansion,1,4,60,120,,3.75,,,,
Arkham Horror: The Card Game – The Labyrinths of Lunacy: Scenario Pack,1,12,60,120,14+,3.3333,,,,
Arkham Horror: The Card Game – The Miskatonic Museum: Mythos Pack,1,4,60,120,14+,3.4167,,,,
Arkham Horror: The Card Game – The Pallid Mask: Mythos Pack,1,4,60,120,,3.75,,,,
Arkham Horror: The Card Game – The Path to Carcosa: Expansion,1,2,60,120,14+,3.4706,,,,
Arkham Horror: The Card Game – The Unspeakable Oath: Mythos Pack,1,4,60,120,14+,3.6667,,,,
Arkham Horror: The Card Game – Threads of Fate: Mythos Pack,1,2,60,120,,3.6667,,,,
